rank,slug,verslagnaam,voornaam,match_achternaam,fractie,functie,first_year,total_words,total_days,years_active
1,rutte,Rutte,Mark,Rutte,VVD,"minister-president, minister van Algemene Zaken",2023,2699765,300,2013-2024
2,hermans,Hermans,Sophie,Hermans,VVD,"minister van Klimaat en Groene Groei, viceminister-president",2026,810075,176,2017-2026
3,van-campen,Van Campen,Thom,Campen,VVD,lid Tweede Kamer,2026,548490,265,2021-2026
4,van-weel,Van Weel,David,Weel,,minister van Justitie en Veiligheid,2026,630046,96,2024-2026
5,tielen,Tielen,Judith,Tielen,VVD,lid Tweede Kamer,2026,570348,319,2017-2026
6,aartsen,Aartsen,Thierry,Aartsen,VVD,lid Tweede Kamer,2026,449786,132,2018-2026
7,van-der-plas,Van der Plas,Caroline,Plas,BBB,lid Tweede Kamer,2026,930167,432,2021-2026
8,ceder,Ceder,Don,Ceder,ChristenUnie,lid Tweede Kamer,2026,739653,385,2021-2026
9,flach,Flach,André,Flach,SGP,lid Tweede Kamer,2026,468837,210,2023-2026
10,dobbe,Dobbe,Sarah,Dobbe,SP,lid Tweede Kamer,2026,393958,192,2023-2026
11,grinwis,Grinwis,Pieter,Grinwis,ChristenUnie,lid Tweede Kamer,2026,819960,393,2021-2026
12,karremans,Karremans,Vincent,Karremans,,"staatssecretaris Jeugd, Preventie en Sport",2026,396086,63,2024-2026
13,jetten,Jetten,Rob,Jetten,D66,lid Tweede Kamer,2026,918229,241,2017-2026
14,vermeer,Vermeer,Henk,Vermeer,BBB,lid Tweede Kamer,2026,390927,230,2023-2026
15,bikker,Bikker,Mirjam,Bikker,ChristenUnie,lid Tweede Kamer,2026,545467,280,2021-2026
16,heerma,Heerma,Pieter,Heerma,CDA,lid Tweede Kamer,2026,557050,299,2013-2026
17,van-nispen,Van Nispen,Michiel,Nispen,SP,lid Tweede Kamer,2025,1015156,549,2014-2025
18,struycken,Struycken,Teun,Struycken,,staatssecretaris Rechtsbescherming,2025,273721,47,2024-2025
19,heinen,Heinen,Eelco,Heinen,VVD,minister van Financiën,2025,591793,116,2021-2026
20,veldkamp,Veldkamp,Caspar,Veldkamp,NSC,minister van Buitenlandse Zaken,2025,356300,75,2023-2025
21,keijzer,Keijzer,Mona,Keijzer,CDA,lid Tweede Kamer,2025,907993,454,2013-2026
22,bosma,Bosma,Martin,Bosma,PVV,lid Tweede Kamer,2025,1126380,651,2013-2026
23,wiersma,Wiersma,Femke,Wiersma,BBB,"minister van Landbouw, Visserij, Voedselzekerheid en Natuur",2025,343040,82,2024-2026
24,brekelmans,Brekelmans,Ruben,Brekelmans,VVD,lid Tweede Kamer,2025,449217,192,2021-2026
25,schoof,Schoof,Dick,Schoof,,"minister-president, minister van Algemene Zaken",2025,263695,29,2024-2025
26,uitermark,Uitermark,Judith,Uitermark,NSC,minister van Binnenlandse Zaken en Koninkrijksrelaties,2025,241830,57,2023-2025
