year,verslagnaam,voornaam,match_achternaam,fractie,functie,words,turns,days
2026,Hermans,Sophie,Hermans,VVD,"minister van Klimaat en Groene Groei, viceminister-president",189704,1083,25
2026,Van Campen,Thom,Campen,VVD,lid Tweede Kamer,181537,10500,60
2026,Van Weel,David,Weel,,minister van Justitie en Veiligheid,178152,908,25
2026,Sterk,Mirjam,Sterk,,"minister van Langdurige Zorg, Jeugd en Sport",175869,1008,21
2026,Tielen,Judith,Tielen,VVD,lid Tweede Kamer,171162,1100,20
2026,Aartsen,Thierry,Aartsen,VVD,lid Tweede Kamer,151593,807,20
2026,Van der Plas,Caroline,Plas,BBB,lid Tweede Kamer,140893,1734,51
2026,Ceder,Don,Ceder,ChristenUnie,lid Tweede Kamer,137792,1034,52
2026,Flach,André,Flach,SGP,lid Tweede Kamer,133249,1011,46
2026,Dobbe,Sarah,Dobbe,SP,lid Tweede Kamer,127324,1076,51
2026,Grinwis,Pieter,Grinwis,ChristenUnie,lid Tweede Kamer,125936,989,52
2026,Karremans,Vincent,Karremans,,"staatssecretaris Jeugd, Preventie en Sport",123304,690,20
2026,Van den Brink,Bart,Brink,CDA,"minister van Asiel en Migratie, viceminister-president",121444,708,17
2026,Jetten,Rob,Jetten,D66,lid Tweede Kamer,114891,761,11
2026,Vermeer,Henk,Vermeer,BBB,lid Tweede Kamer,109187,1361,61
2026,Berendsen,Tom,Berendsen,EP/CDA,minister van Buitenlandse Zaken,107506,707,16
2026,Bikker,Mirjam,Bikker,ChristenUnie,lid Tweede Kamer,107132,727,45
2026,Van Bruggen,Claudia,Bruggen,,staatssecretaris van Justitie en Veiligheid,107065,516,18
2026,Boekholt-O'Sullivan,Elanor,Boekholt-O'Sullivan,,minister van Volkshuisvesting en Ruimtelijke Ordening,101522,715,18
2026,Heerma,Pieter,Heerma,CDA,lid Tweede Kamer,100031,467,16
2026,Kostić,Ines,Kostić,PvdD,lid Tweede Kamer,99172,1084,50
2026,Vijlbrief,Hans,Vijlbrief,D66,Lid Tweede Kamer,99013,655,18
2026,Heinen,Eelco,Heinen,VVD,minister van Financiën,98034,419,10
2026,Westerveld,Lisa,Westerveld,GroenLinks,lid Tweede Kamer,97984,617,45
2026,Beckerman,Sandra,Beckerman,SP,lid Tweede Kamer,95589,977,48
2026,Erkens,Silvio,Erkens,VVD,lid Tweede Kamer,94846,586,22
2026,Dassen,Laurens,Dassen,Volt,lid Tweede Kamer,93752,958,52
2026,Dijk,Jimmy,Dijk,SP,lid Tweede Kamer,92162,927,46
2026,Ceulemans,Simon,Ceulemans,JA21,lid Tweede Kamer,90178,980,47
2026,Van Houwelingen,Pepijn,Houwelingen,FVD,lid Tweede Kamer,84916,645,40
2026,Van Baarle,Stephan,Baarle,DENK,lid Tweede Kamer,84276,825,47
2026,Keijzer,Mona,Keijzer,CDA,lid Tweede Kamer,83881,961,41
